File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Projects\MusicEducation\MusicEducation.Client\app\app.js,163,84,42,5,29,2,50,258,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\bankTestController.js,414,327,274,25,70,3,17,50,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\constructorController.js,221,179,147,13,41,0,1,1,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\groupController.js,352,273,245,15,68,3,11,28,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\loginController.js,138,77,63,7,23,0,38,108,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\mainController.js,494,370,160,4,56,0,68,244,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\messageController.js,89,68,61,4,21,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\navbarController.js,108,75,75,1,24,2,9,42,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\pianoController.js,177,142,128,11,35,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\profileController.js,85,63,59,3,18,0,4,9,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\studentController.js,303,254,211,16,49,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\taskController.js,568,467,395,41,89,3,12,32,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\testController.js,571,469,343,35,74,3,28,74,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\controllers\userController.js,201,162,131,11,27,0,12,34,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\directives\amChartsDirective.js,361,257,192,49,62,4,42,274,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\directives\filereadDirective.js,32,25,20,1,6,0,1,2,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\directives\pianoDirective.js,239,196,105,18,33,0,10,33,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\directives\semantic-ui\modalDirective.js,65,53,36,2,11,0,1,7,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\authService.js,162,123,106,10,36,1,3,21,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\notifyService.js,83,65,53,4,16,0,2,7,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\pianoPlayerService.js,178,116,88,15,30,0,32,102,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\reportService.js,25,14,14,1,11,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\routeResolver.js,78,58,47,10,19,0,1,11,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\studentService.js,247,161,132,15,37,0,49,135,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\testService.js,472,352,280,28,69,0,51,137,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\services\userService.js,656,501,409,42,106,0,49,135,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\bankTest.html,434,411,34,0,23,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\constructor.html,156,148,12,0,8,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\group.html,300,282,20,0,18,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\login.html,76,75,4,0,1,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\main.html,414,387,73,0,27,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\message.html,154,142,34,0,10,9,2,33,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\piano.html,132,125,6,0,7,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\profile.html,167,159,12,0,8,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\student.html,476,457,54,0,19,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\task.html,583,556,95,0,27,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\test.html,460,435,62,0,25,0,0,0,0,0
E:\Projects\MusicEducation\MusicEducation.Client\app\musicEducationApp\views\user.html,318,302,28,0,16,0,0,0,0,0
